标题链接,y,r_链接,r,zy2
"【聚焦两会】西安交大师生热议2021年全国“两会”召开
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129932.htm,7,3月4日、5日，中国人民政治协商会议第十三届全国委员会第四次会议和第十三届全国人民代表大会第四次会议相继在人民大会堂开幕，西安交通大学师生在第一时间通过广播、电视、网络等媒体收听收看有关“两会”的报道，持续关注“两会”动态，就“两会”相关话...
"【中新社】专访全国人大代表、西安交通大学校长王树国：大学应“打开校门”与社会深度融合
                    
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129929.htm,7,什么是好大学？这是中国教育界一直探讨的基本而重要的问题。从《百家讲坛》到《开讲啦》，从《我的专业不太冷》到《中国经济大讲堂》，全国人大常委会委员、西安交通大学校长王树国不断透过新颖传播平台与学子探讨大学育人的思考，卓有远见的哲思与幽默风...
"西安交大师生热议习近平总书记在政协医药卫生界、教育界委员联组会上的重要讲话
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129926.htm,7,3月6日下午，习近平总书记看望了参加政协会议的医药卫生界、教育界委员，并参加联组会，在听取意见和建议后发表重要讲话。习近平总书记的重要讲话在西安交大师生之间引发热烈反响。大家纷纷表示，习近平总书记的重要讲话令人备受鼓舞，将牢记嘱托，以更加...
"【聚焦两会】社会媒体关注王树国代表、李香菊委员两会发声
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129923.htm,7,3月4日-5日，全国政协十三届四次会议和十三届全国人大四次会议相继在北京人民大会堂开幕，全国人大代表、西安交大校长王树国，全国政协委员、西安交大经金学院教授李香菊赴京参会。新华社、人民日报、中国教育报、陕西日报等主流媒体关注王树国代表、李香...
"卢建军调研新闻与新媒体学院
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129920.htm,6,3月5日，西安交大党委书记卢建军调研新闻与新媒体学院，围绕学科交叉融合、人才队伍建设、学院发展规划等方面进行研讨交流。卢建军来到学校融媒体平台、新媒体智慧学习工场、传播内容认知国家重点实验室西安交通大学传播内容智能理解研究中心等，了解平台...
"学校召开校庆工作专项推进会
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129917.htm,6,2021年4月8日是交大建校125周年暨迁校65周年，是学校建设中国特色世界一流大学进入新时期的重要时刻。根据学校党委统一部署，紧扣“新时代、新格局、新贡献”主题，3月5日上午，学校召开校庆工作专项推进会，副校长郑庆华，党委常委、宣传部部长成进，校庆...
"【金融时报】全国政协委员李香菊：建议优化我国股权激励个人所得税政策
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129910.htm,5,“科技创新靠人才，激发人才创新活力应深化收入分配制度改革。”全国政协委员、西安交通大学教授李香菊对《金融时报》记者表示，股权激励是国际上通行的现代企业吸引留住优秀人才，将个人利益与企业发展紧密联系，形成劳动者与所有者利益共享的一种长期性...
"【身边交大人】缑永强：永远的少年
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129908.htm,5,抗疫期间，有媒体记者拍摄到一段小视频——缑永强快速向前奔跑，转身拿着手中相机给医护人员照相，照完相再次拼命向前奔跑。有媒体记者惊呼：“这人有多爱这个单位和这份工作呀？！”是的，缑永强对新闻宣传工作的挚爱甚至超过了有些媒体的记者。爱上新闻2...
"【中国科学报】吴宏春：工程教育理应服务工业革命需求
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129885.htm,5,3月4日是全球第二个“世界工程日”。 大学发展和工业发展构成人类社会进步的两条螺旋链。当下，如何以学生素养成为主线，为国家多培养愿意奉献、乐于钻研的高端人才，为社会多输送有利于人类和平和生活健康的人才，促进第四次工业革命的迅速发展，成为很多...
"卢建军调研电子陶瓷与器件教育部重点实验室
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129880.htm,5, 3月3日，卢建军调研电子陶瓷与器件教育部重点实验室和国际电介质研究中心，详细了解透明铁电单晶的制备原理与技术、主要应用领域、发展前景，询问了团队科研攻关进展情况，并与师生代表深入交流。卢建军在听完徐卓、李飞团队的介绍后，对他们取得的成果表...
"【教育部网站】西安交通大学“五个提升”推进文明校园建设
                            ",21-Mar,http://news.xjtu.edu.cn/info/1033/129877.htm,5,西安交通大学认真贯彻落实习近平总书记对西安交通大学老教授来信的重要指示精神，以“绘就文明底色，传扬西迁精神”为主题，以培育和践行社会主义核心价值观为统领，将文明校园建设纳入学校重要议事日程、贯穿融入立德树人全过程，为学校事业发展和人才培...
